00002AD200001000800000805F9B34FB	Indoor Bike Data
00002AD300001000800000805F9B34FB	Training Status
00002AD400001000800000805F9B34FB	Supported Speed Range
00002AD500001000800000805F9B34FB	Supported Inclination Range
00002AD600001000800000805F9B34FB	Supported Resistance Level Range
00002AD700001000800000805F9B34FB	Supported Heart Rate Range
00002AD800001000800000805F9B34FB	Supported Power Range
00002AD900001000800000805F9B34FB	Fitness Machine Control Point
00002ADA00001000800000805F9B34FB	Fitness Machine Status
00002ADB00001000800000805F9B34FB	Mesh Provisioning Data In
00002ADC00001000800000805F9B34FB	Mesh Provisioning Data Out
00002ADD00001000800000805F9B34FB	Mesh Proxy Data In
00002ADE00001000800000805F9B34FB	Mesh Proxy Data Out
00002AE000001000800000805F9B34FB	Average Current
00002AE100001000800000805F9B34FB	Average Voltage
00002AE200001000800000805F9B34FB	Boolean
00002AE300001000800000805F9B34FB	Chromatic Distance From Planckian
00002AE400001000800000805F9B34FB	Chromaticity Coordinates
00002AE500001000800000805F9B34FB	Chromaticity In CCT And Duv Values
00002AE600001000800000805F9B34FB	Chromaticity Tolerance
00002AE700001000800000805F9B34FB	CIE 13.3-1995 Color Rendering Index
00002AE800001000800000805F9B34FB	Coefficient
00002AE900001000800000805F9B34FB	Correlated Color Temperature
00002AEA00001000800000805F9B34FB	Count 16
00002AEB00001000800000805F9B34FB	Count 24
00002AEC00001000800000805F9B34FB	Country Code
00002AED00001000800000805F9B34FB	Date UTC
00002AEE00001000800000805F9B34FB	Electric Current
00002AEF00001000800000805F9B34FB	Electric Current Range
00002AF000001000800000805F9B34FB	Electric Current Specification
00002AF100001000800000805F9B34FB	Electric Current Statistics
00002AF200001000800000805F9B34FB	Energy
00002AF300001000800000805F9B34FB	Energy In A Period Of Day
00002AF400001000800000805F9B34FB	Event Statistics
00002AF500001000800000805F9B34FB	Fixed String 16
00002AF600001000800000805F9B34FB	Fixed String 24
00002AF700001000800000805F9B34FB	Fixed String 36
00002AF800001000800000805F9B34FB	Fixed String 8
